epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,19236.4,0.51632,0.33554,0.00222,0.95947,0.96362,0.97303,0.82873,0.62985,0.28767,0.01336,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,19611.8,0.51496,0.32438,0.00222,0.96088,0.96351,0.97507,0.82264,0.64988,0.2864,0.01346,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,19991.6,0.51412,0.32817,0.00221,0.95827,0.96082,0.97384,0.82456,0.65116,0.28879,0.01336,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,20364.2,0.51175,0.32005,0.00218,0.96184,0.96599,0.97502,0.82819,0.65093,0.26865,0.01335,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,20747.5,0.5102,0.3219,0.00216,0.96575,0.96405,0.97501,0.82831,0.65882,0.28842,0.01358,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,21120.5,0.51239,0.31553,0.00219,0.96304,0.96023,0.97347,0.82574,0.63857,0.28988,0.01325,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,21496.5,0.51147,0.31816,0.00217,0.95987,0.96486,0.97474,0.8316,0.64127,0.2803,0.01327,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,21878.9,0.50902,0.30764,0.00215,0.96519,0.96087,0.97418,0.82905,0.6305,0.27989,0.01324,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,22251.3,0.50326,0.31479,0.00213,0.96307,0.96121,0.97445,0.82708,0.63478,0.28621,0.01331,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,22634.9,0.49945,0.30176,0.00209,0.96272,0.96468,0.97448,0.83045,0.63968,0.28189,0.01333,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,23006.9,0.49778,0.29928,0.00208,0.96127,0.95976,0.97527,0.83073,0.62953,0.28054,0.01312,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,23381.6,0.49638,0.30073,0.00205,0.96338,0.96388,0.97394,0.83663,0.62711,0.28532,0.01316,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,23763.4,0.4898,0.30177,0.00204,0.95902,0.96448,0.97302,0.82698,0.65439,0.29317,0.01326,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,24135.7,0.49029,0.3092,0.00204,0.95958,0.96069,0.97506,0.82787,0.63969,0.29178,0.01327,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
