epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
82,4486.43,0.40941,0.28809,0.84657,0.96832,0.97642,0.97581,0.8468,0.53585,0.56238,0.97405,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,4541.79,0.40821,0.28634,0.84499,0.96541,0.97726,0.97612,0.84512,0.53574,0.57346,0.98067,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,4597.47,0.40758,0.28567,0.84699,0.96554,0.97655,0.97612,0.84508,0.53721,0.57522,0.97551,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,4653.16,0.4044,0.28217,0.84617,0.9667,0.97541,0.9761,0.84242,0.53561,0.57791,0.97321,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,4709.03,0.4052,0.28348,0.84598,0.96502,0.97609,0.97572,0.84422,0.53601,0.57567,0.97214,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,4764.83,0.4024,0.27892,0.84573,0.96454,0.97592,0.97568,0.84484,0.53449,0.56921,0.96634,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,4821.12,0.39915,0.27824,0.84426,0.96144,0.97896,0.9759,0.846,0.53396,0.56541,0.96588,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,4876.38,0.3992,0.27928,0.84597,0.96706,0.9752,0.97587,0.84763,0.5353,0.56025,0.97078,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,4932.46,0.39784,0.27932,0.84444,0.96452,0.97818,0.97591,0.84652,0.53545,0.56353,0.97297,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,4988.67,0.40046,0.27808,0.84458,0.96404,0.97827,0.97588,0.84681,0.53426,0.56487,0.97464,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,5045.15,0.39857,0.27648,0.84223,0.96576,0.97738,0.9756,0.84625,0.53391,0.56676,0.97214,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,5100.18,0.39242,0.27088,0.84475,0.96674,0.97697,0.97589,0.84499,0.53387,0.56838,0.97532,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,5152.85,0.39357,0.27313,0.84324,0.96717,0.97569,0.97578,0.84601,0.53381,0.56607,0.97497,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,5205.68,0.3933,0.27199,0.84371,0.96818,0.97633,0.97538,0.84573,0.53649,0.56384,0.979,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,5262.08,0.39233,0.26984,0.84115,0.9679,0.97583,0.97555,0.84519,0.53769,0.56249,0.98576,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,5318.38,0.38871,0.26919,0.84305,0.96789,0.97575,0.97533,0.84554,0.53867,0.56087,0.98809,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,5374.35,0.39172,0.26928,0.84345,0.96788,0.97619,0.97498,0.84542,0.54019,0.5588,0.99111,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,5430.17,0.38905,0.26744,0.84166,0.96725,0.9767,0.975,0.8456,0.54058,0.55898,0.99179,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,5485.81,0.38628,0.26384,0.84171,0.96734,0.97664,0.97498,0.84526,0.54096,0.56021,0.99346,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,5539.19,0.38419,0.26078,0.84191,0.96766,0.97746,0.97511,0.84556,0.5418,0.56499,0.9911,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,5592.08,0.38515,0.26298,0.84001,0.96739,0.97821,0.97476,0.84686,0.5426,0.56498,0.99324,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,5646.23,0.3829,0.26105,0.84042,0.96752,0.97812,0.97426,0.8448,0.54257,0.56745,0.99374,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,5702.24,0.3789,0.26,0.84068,0.96749,0.97751,0.97431,0.84601,0.54155,0.57063,0.99209,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,5758.12,0.38017,0.25995,0.84192,0.9672,0.97801,0.97428,0.84619,0.54092,0.57008,0.99537,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,5814.15,0.37937,0.25761,0.83919,0.96655,0.97662,0.97441,0.84574,0.54072,0.57073,0.99687,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,5870.47,0.37815,0.25798,0.83955,0.9675,0.97702,0.97447,0.84553,0.54137,0.57116,0.99618,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,5926.1,0.37573,0.25567,0.83931,0.96626,0.97749,0.97441,0.84485,0.54127,0.57449,0.99334,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,5981.55,0.37326,0.25283,0.84002,0.96623,0.97726,0.9744,0.84514,0.54154,0.57699,0.99429,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,6036.97,0.37502,0.25337,0.84106,0.96634,0.97556,0.97458,0.84418,0.54239,0.57601,0.99593,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,6092.39,0.36857,0.25068,0.83881,0.96641,0.97655,0.97439,0.843,0.54261,0.57752,0.99524,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,6147.11,0.36879,0.24884,0.83772,0.96668,0.97619,0.97426,0.84341,0.542,0.57927,0.99371,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,6200.18,0.36853,0.24704,0.83825,0.96697,0.97612,0.97421,0.84338,0.54176,0.57916,0.99326,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,6252.66,0.36647,0.24849,0.83707,0.96794,0.97551,0.97428,0.84347,0.54205,0.57905,0.99457,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,6305.07,0.36701,0.24602,0.83871,0.9683,0.97519,0.97445,0.84328,0.54259,0.57962,0.99498,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,6357.56,0.36718,0.24865,0.83745,0.9684,0.97549,0.97468,0.84383,0.54294,0.5797,0.9955,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
