epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,32864.1,0.53146,0.29503,0.00291,0.95026,0.96826,0.97607,0.83284,0.63849,0.28365,0.01457,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,33488.9,0.53256,0.29828,0.00294,0.95361,0.96834,0.97692,0.83362,0.63994,0.27782,0.01462,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,34118.3,0.52969,0.29633,0.00291,0.95349,0.96882,0.97685,0.8333,0.64182,0.27761,0.0147,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,34757.4,0.52575,0.29093,0.0029,0.95548,0.96901,0.977,0.83352,0.64091,0.27466,0.01472,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,35380.9,0.52986,0.29142,0.00291,0.95448,0.96938,0.97742,0.83403,0.64076,0.27289,0.01476,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,36007.2,0.5253,0.29133,0.00287,0.95552,0.96896,0.9779,0.83408,0.64246,0.27116,0.01486,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,36647.4,0.52685,0.29246,0.00287,0.9553,0.97012,0.97803,0.834,0.64414,0.27042,0.01494,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,37270,0.53213,0.29004,0.0029,0.95542,0.96912,0.97803,0.83406,0.64592,0.27091,0.01499,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,37892.9,0.52647,0.29221,0.0029,0.95597,0.96855,0.97773,0.83348,0.64647,0.27051,0.01501,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,38529.2,0.52324,0.28857,0.00286,0.95606,0.96886,0.9778,0.83344,0.64726,0.27085,0.01501,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
